session_id,customer_id,device_type,operating_system,ip_address,start_time,end_time,is_weekend,is_night,session_duration_sec,cart_value,items_count,checkout_attempts,payment_failures,cart_revisit_count,is_abandoned,status
sess_000041,151,MOBILE,Windows,103.76.53.19,2026-07-28 18:49:04,2026-07-28 18:58:38,0,0,574,40953.1,2,0,0,2,1,ABANDONED
sess_000042,315,DESKTOP,Android,103.120.84.156,2026-07-10 09:48:04,2026-07-10 09:53:58,0,0,354,71501.83,3,1,0,1,0,CONVERTED
sess_000043,153,MOBILE,Android,103.22.201.147,2026-07-21 07:52:04,2026-07-21 07:57:59,0,0,355,470.42,1,1,0,2,0,CONVERTED
sess_000044,422,TABLET,macOS,103.61.49.7,2026-08-01 18:48:04,2026-08-01 18:54:27,1,0,383,7441.9,1,2,0,2,0,CONVERTED
sess_000045,242,DESKTOP,Windows,103.33.198.48,2026-07-27 11:36:04,2026-07-27 11:49:02,0,0,778,77641.25,4,1,0,4,1,ABANDONED
sess_000046,44,TABLET,Windows,103.216.211.249,2026-07-14 04:30:04,2026-07-14 04:34:00,0,1,236,11269.93,1,0,0,3,1,ABANDONED
sess_000047,495,TABLET,macOS,103.156.120.122,2026-07-29 21:56:04,2026-07-29 22:01:39,0,0,335,30515.02,1,2,0,1,0,CONVERTED
sess_000048,486,MOBILE,iOS,103.216.98.33,2026-08-06 10:10:04,2026-08-06 10:12:44,0,0,160,87270.35,4,0,0,3,1,ABANDONED
sess_000049,283,DESKTOP,Windows,103.143.234.235,2026-07-12 00:12:04,2026-07-12 00:18:59,1,1,415,38914.59,2,2,0,2,0,CONVERTED
sess_000050,474,MOBILE,Android,103.211.146.223,2026-07-21 12:53:04,2026-07-21 13:02:33,0,0,569,17768.43,3,0,0,2,1,ABANDONED
sess_000051,207,MOBILE,macOS,103.19.202.228,2026-07-10 13:19:04,2026-07-10 13:30:44,0,0,700,43600.04,3,4,1,5,1,PAYMENT_FAILED
sess_000052,117,MOBILE,Windows,103.200.226.199,2026-07-12 13:40:04,2026-07-12 13:52:10,1,0,726,44191.65,2,2,0,1,0,CONVERTED
sess_000053,445,DESKTOP,Android,103.141.81.17,2026-07-29 07:20:04,2026-07-29 07:47:57,0,0,1673,28015.99,2,3,1,2,1,PAYMENT_FAILED
sess_000054,185,TABLET,iOS,103.80.188.211,2026-07-24 07:23:04,2026-07-24 07:30:10,0,0,426,21135.8,2,2,0,1,0,CONVERTED
sess_000055,301,TABLET,Windows,103.98.83.215,2026-07-10 15:48:04,2026-07-10 15:57:55,0,0,591,69353.96,4,1,0,1,0,CONVERTED
sess_000056,263,MOBILE,Android,103.131.67.166,2026-08-02 04:06:04,2026-08-02 04:14:53,1,1,529,34943.9,3,1,0,2,0,CONVERTED
sess_000057,239,DESKTOP,macOS,103.159.52.2,2026-07-22 02:01:04,2026-07-22 02:10:15,0,1,551,38313.46,3,0,0,2,1,ABANDONED
sess_000058,442,DESKTOP,Windows,103.177.152.49,2026-08-03 06:58:04,2026-08-03 07:17:47,0,0,1183,33078.06,1,1,0,4,1,ABANDONED
sess_000059,349,MOBILE,Android,103.177.254.76,2026-07-30 10:20:04,2026-07-30 10:31:41,0,0,697,53710.77,2,2,0,1,0,CONVERTED
sess_000060,327,DESKTOP,Windows,103.139.153.217,2026-08-02 02:11:04,2026-08-02 02:27:15,1,1,971,74303.65,3,1,0,4,1,ABANDONED
sess_000061,485,TABLET,Windows,103.177.45.57,2026-07-27 17:00:04,2026-07-27 17:08:25,0,0,501,82389.36,4,0,0,2,1,ABANDONED
sess_000062,37,DESKTOP,iOS,103.138.61.223,2026-07-17 11:36:04,2026-07-17 11:48:07,0,0,723,49203.99,2,2,0,1,0,CONVERTED
sess_000063,74,DESKTOP,iOS,103.209.41.125,2026-07-28 03:05:04,2026-07-28 03:17:02,0,1,718,101797.16,4,2,2,2,1,PAYMENT_FAILED
sess_000064,220,DESKTOP,macOS,103.132.196.2,2026-08-06 06:24:04,2026-08-06 06:35:26,0,0,682,53069.77,3,1,0,1,0,CONVERTED
sess_000065,160,MOBILE,Android,103.108.156.43,2026-08-05 23:04:04,2026-08-05 23:14:01,0,1,597,42206.32,3,2,0,2,0,CONVERTED
sess_000066,10,MOBILE,iOS,103.196.67.55,2026-07-15 23:53:04,2026-07-16 00:09:47,0,1,1003,15990.76,1,1,0,4,1,ABANDONED
sess_000067,193,TABLET,Windows,103.207.24.153,2026-08-06 02:02:04,2026-08-06 02:07:24,0,1,320,34536.05,1,1,0,1,0,CONVERTED
sess_000068,64,TABLET,Windows,103.131.78.53,2026-07-16 01:13:04,2026-07-16 01:30:29,0,1,1045,81850.74,3,1,0,3,1,ABANDONED
sess_000069,215,MOBILE,Android,103.82.58.201,2026-08-04 07:38:04,2026-08-04 07:41:45,0,0,221,43308.71,2,0,0,3,1,ABANDONED
sess_000070,152,MOBILE,Android,103.150.254.234,2026-08-01 01:08:04,2026-08-01 01:18:42,1,1,638,29947.02,1,2,0,1,0,CONVERTED
sess_000071,465,MOBILE,macOS,103.48.46.200,2026-07-22 22:04:04,2026-07-22 22:23:04,0,0,1140,23527.91,3,1,0,3,1,ABANDONED
sess_000072,448,MOBILE,Windows,103.102.160.110,2026-07-15 20:40:04,2026-07-15 20:45:50,0,0,346,25579.73,2,1,0,1,0,CONVERTED
sess_000073,490,TABLET,Windows,103.234.47.96,2026-07-12 12:56:04,2026-07-12 12:59:37,1,0,213,58683.04,4,0,0,1,1,ABANDONED
sess_000074,483,MOBILE,Android,103.116.247.206,2026-07-20 01:28:04,2026-07-20 01:51:01,0,1,1377,7783.14,1,3,1,4,1,PAYMENT_FAILED
sess_000075,472,DESKTOP,Android,103.237.210.113,2026-08-06 22:28:04,2026-08-06 22:32:17,0,0,253,41728.04,3,0,0,3,1,ABANDONED
sess_000076,266,TABLET,Android,103.120.127.124,2026-07-27 01:58:04,2026-07-27 02:16:16,0,1,1092,41190.43,2,1,0,6,1,ABANDONED
sess_000077,259,DESKTOP,macOS,103.232.84.20,2026-07-14 07:51:04,2026-07-14 08:00:10,0,0,546,29844.76,3,2,0,2,0,CONVERTED
sess_000078,228,TABLET,macOS,103.32.255.115,2026-07-28 20:34:04,2026-07-28 20:49:13,0,0,909,1741.62,1,1,0,3,1,ABANDONED
sess_000079,286,TABLET,Android,103.221.46.203,2026-07-19 03:30:04,2026-07-19 03:37:30,1,1,446,25579.73,2,0,0,2,1,ABANDONED
sess_000080,419,MOBILE,macOS,103.94.242.184,2026-07-17 12:13:04,2026-07-17 12:31:57,0,0,1133,23088.42,1,1,0,6,1,ABANDONED
sess_000081,2,DESKTOP,Windows,103.222.149.141,2026-07-22 11:52:04,2026-07-22 12:00:03,0,0,479,6189.77,1,0,0,1,1,ABANDONED
sess_000082,421,TABLET,macOS,103.37.130.157,2026-08-01 18:13:04,2026-08-01 18:16:05,1,0,181,31330.16,2,0,0,2,1,ABANDONED
sess_000083,24,TABLET,Android,103.207.230.118,2026-07-17 04:31:04,2026-07-17 04:44:34,0,1,810,23638.97,1,1,0,1,0,CONVERTED
sess_000084,248,TABLET,iOS,103.187.88.188,2026-07-12 20:15:04,2026-07-12 20:26:40,1,0,696,112095.62,4,1,0,2,0,CONVERTED
sess_000085,212,TABLET,Windows,103.225.160.183,2026-07-15 05:44:04,2026-07-15 06:01:31,0,1,1047,39266.01,2,1,0,4,1,ABANDONED
sess_000086,472,TABLET,iOS,103.191.91.129,2026-07-21 00:56:04,2026-07-21 01:10:00,0,1,836,82982.36,4,4,2,4,1,PAYMENT_FAILED
sess_000087,28,TABLET,Android,103.61.136.193,2026-07-13 19:08:04,2026-07-13 19:12:30,0,0,266,35221.44,3,0,0,3,1,ABANDONED
sess_000088,417,DESKTOP,Android,103.167.114.191,2026-07-18 05:28:04,2026-07-18 05:33:23,1,1,319,50957.52,3,0,0,1,1,ABANDONED
sess_000089,7,TABLET,Windows,103.61.226.213,2026-07-31 03:00:04,2026-07-31 03:22:37,0,1,1353,43088.48,2,4,3,3,1,PAYMENT_FAILED
sess_000090,194,MOBILE,macOS,103.81.135.34,2026-08-02 04:41:04,2026-08-02 04:46:09,1,1,305,37899.19,4,2,0,2,0,CONVERTED
sess_000091,282,DESKTOP,Android,103.210.162.135,2026-07-31 18:21:04,2026-07-31 18:27:30,0,0,386,68491.97,2,0,0,1,1,ABANDONED
sess_000092,114,MOBILE,Windows,103.94.184.76,2026-08-01 03:31:04,2026-08-01 03:45:38,1,1,874,24226.27,1,2,0,1,0,CONVERTED
sess_000093,124,TABLET,iOS,103.255.20.175,2026-07-10 13:40:04,2026-07-10 13:45:19,0,0,315,112880.64,4,0,0,1,1,ABANDONED
sess_000094,23,DESKTOP,iOS,103.92.42.243,2026-08-04 18:55:04,2026-08-04 19:05:19,0,0,615,54677.14,2,4,3,2,1,PAYMENT_FAILED
sess_000095,276,TABLET,macOS,103.175.36.192,2026-07-17 19:23:04,2026-07-17 19:30:08,0,0,424,55663.56,3,1,0,6,1,ABANDONED
sess_000096,295,MOBILE,Windows,103.114.198.116,2026-07-18 10:49:04,2026-07-18 10:59:27,1,0,623,98825.37,4,2,0,1,0,CONVERTED
sess_000097,55,DESKTOP,Windows,103.165.44.73,2026-07-14 09:41:04,2026-07-14 09:54:14,0,0,790,17262.47,1,1,0,6,1,ABANDONED
sess_000098,113,MOBILE,macOS,103.213.151.246,2026-07-18 19:42:04,2026-07-18 20:04:48,1,0,1364,42890.83,2,3,3,2,1,PAYMENT_FAILED
sess_000099,44,DESKTOP,iOS,103.201.176.55,2026-07-25 02:35:04,2026-07-25 02:50:28,1,1,924,18088.87,2,1,0,4,1,ABANDONED
sess_000100,93,TABLET,Android,103.227.236.166,2026-07-21 22:08:04,2026-07-21 22:14:12,0,0,368,15251.23,1,2,0,2,0,CONVERTED
sess_000101,250,DESKTOP,Windows,103.42.120.26,2026-07-29 03:29:04,2026-07-29 03:31:39,0,1,155,46353.25,3,0,0,1,1,ABANDONED
sess_000102,291,DESKTOP,Windows,103.255.219.44,2026-08-07 13:56:04,2026-08-07 14:00:10,0,0,246,87319.22,4,0,0,1,1,ABANDONED
sess_000103,250,TABLET,Android,103.54.41.216,2026-07-30 19:51:04,2026-07-30 20:00:33,0,0,569,8878.17,1,1,0,1,0,CONVERTED
sess_000104,16,TABLET,macOS,103.206.108.233,2026-08-06 05:48:04,2026-08-06 06:02:20,0,1,856,17732.38,2,2,0,2,0,CONVERTED
sess_000105,69,DESKTOP,Android,103.111.186.129,2026-08-07 02:00:04,2026-08-07 02:07:53,0,1,469,72833.79,4,1,0,1,0,CONVERTED
sess_000106,136,DESKTOP,iOS,103.20.105.133,2026-07-09 12:18:04,2026-07-09 12:31:21,0,0,797,49853.0,4,1,0,6,1,ABANDONED
sess_000107,292,MOBILE,macOS,103.177.193.94,2026-07-20 02:19:04,2026-07-20 02:27:03,0,1,479,16804.92,4,1,0,5,1,ABANDONED
sess_000108,226,MOBILE,iOS,103.29.143.55,2026-08-03 18:15:04,2026-08-03 18:24:25,0,0,561,24226.27,1,1,0,5,1,ABANDONED
sess_000109,416,DESKTOP,Android,103.133.245.123,2026-08-01 04:28:04,2026-08-01 04:40:04,1,1,720,49704.3,2,1,0,1,0,CONVERTED
sess_000110,323,TABLET,Android,103.238.75.15,2026-08-02 15:49:04,2026-08-02 16:12:54,1,0,1430,78130.23,3,2,3,2,1,PAYMENT_FAILED
sess_000111,299,MOBILE,Windows,103.52.175.237,2026-07-24 04:16:04,2026-07-24 04:32:48,0,1,1004,45222.69,2,1,0,3,1,ABANDONED
sess_000112,441,TABLET,macOS,103.221.76.156,2026-08-04 18:34:04,2026-08-04 18:45:23,0,0,679,17262.47,1,3,3,2,1,PAYMENT_FAILED
sess_000113,424,MOBILE,macOS,103.143.215.95,2026-07-11 23:09:04,2026-07-11 23:17:01,1,1,477,54602.95,4,0,0,3,1,ABANDONED
sess_000114,245,MOBILE,Android,103.82.209.66,2026-08-02 00:26:04,2026-08-02 00:40:55,1,1,891,11269.93,1,1,0,1,0,CONVERTED
sess_000115,353,DESKTOP,macOS,103.102.54.40,2026-07-25 02:23:04,2026-07-25 02:39:43,1,1,999,64850.74,3,1,0,5,1,ABANDONED
sess_000116,212,TABLET,macOS,103.55.189.144,2026-07-21 08:07:04,2026-07-21 08:36:47,0,0,1783,119526.24,4,3,2,4,1,PAYMENT_FAILED
sess_000117,411,TABLET,Android,103.51.199.247,2026-07-19 00:27:04,2026-07-19 00:53:09,1,1,1565,5973.44,1,2,1,5,1,PAYMENT_FAILED
sess_000118,41,TABLET,Android,103.195.196.239,2026-07-26 03:40:04,2026-07-26 03:47:39,1,1,455,49840.7,3,0,0,3,1,ABANDONED
sess_000119,104,TABLET,Windows,103.59.17.201,2026-07-19 07:12:04,2026-07-19 07:27:32,1,0,928,23534.68,2,1,0,4,1,ABANDONED
sess_000120,500,MOBILE,Android,103.80.204.91,2026-07-17 11:08:04,2026-07-17 11:13:31,0,0,327,37250.54,2,0,0,3,1,ABANDONED
sess_000121,146,TABLET,Windows,103.98.141.58,2026-07-19 17:59:04,2026-07-19 18:10:57,1,0,713,57513.88,3,2,0,1,0,CONVERTED
sess_000122,485,MOBILE,Windows,103.234.128.178,2026-07-24 11:45:04,2026-07-24 11:54:13,0,0,549,57074.05,4,2,0,2,0,CONVERTED
sess_000123,410,DESKTOP,macOS,103.254.180.133,2026-07-22 00:18:04,2026-07-22 00:26:02,0,1,478,54549.96,2,0,0,2,1,ABANDONED
sess_000124,477,MOBILE,macOS,103.90.181.56,2026-07-10 05:03:04,2026-07-10 05:14:19,0,1,675,39352.96,2,1,0,4,1,ABANDONED
sess_000125,447,DESKTOP,iOS,103.68.103.214,2026-07-31 03:31:04,2026-07-31 03:38:43,0,1,459,33938.58,1,2,0,1,0,CONVERTED
sess_000126,315,MOBILE,Android,103.227.246.96,2026-07-19 13:52:04,2026-07-19 14:06:52,1,0,888,83085.41,4,2,0,2,0,CONVERTED
sess_000127,245,TABLET,Android,103.138.177.101,2026-07-11 01:12:04,2026-07-11 01:24:52,1,1,768,61356.23,4,1,0,1,0,CONVERTED
sess_000128,96,TABLET,Windows,103.70.137.121,2026-07-08 03:42:04,2026-07-08 03:46:59,0,1,295,5615.46,2,0,0,2,1,ABANDONED
sess_000129,187,DESKTOP,Windows,103.125.92.147,2026-08-03 04:58:04,2026-08-03 05:04:46,0,1,402,24109.39,2,1,0,2,0,CONVERTED
sess_000130,243,MOBILE,iOS,103.117.255.35,2026-07-10 03:06:04,2026-07-10 03:19:22,0,1,798,66828.13,3,2,0,2,0,CONVERTED
sess_000131,417,DESKTOP,macOS,103.224.49.116,2026-07-15 13:12:04,2026-07-15 13:23:13,0,0,669,45078.48,3,2,0,2,0,CONVERTED
sess_000132,295,TABLET,iOS,103.209.145.91,2026-07-28 01:39:04,2026-07-28 02:04:19,0,1,1515,84692.64,4,4,2,2,1,PAYMENT_FAILED
sess_000133,465,MOBILE,Android,103.51.175.59,2026-07-28 13:49:04,2026-07-28 13:58:37,0,0,573,58442.89,3,2,0,2,0,CONVERTED
sess_000134,95,MOBILE,iOS,103.196.120.170,2026-07-30 00:42:04,2026-07-30 01:01:31,0,1,1167,7931.39,2,1,0,3,1,ABANDONED
sess_000135,281,MOBILE,Android,103.207.203.135,2026-07-14 21:47:04,2026-07-14 21:56:32,0,0,568,1353.46,1,1,0,1,0,CONVERTED
sess_000136,118,MOBILE,Windows,103.123.64.34,2026-07-22 18:48:04,2026-07-22 18:50:18,0,0,134,43000.98,3,0,0,1,1,ABANDONED
sess_000137,91,TABLET,macOS,103.171.222.135,2026-07-18 02:48:04,2026-07-18 02:58:59,1,1,655,56415.68,2,2,0,2,0,CONVERTED
sess_000138,80,DESKTOP,Android,103.10.69.89,2026-07-29 08:37:04,2026-07-29 08:52:51,0,0,947,85166.41,4,1,0,3,1,ABANDONED
sess_000139,97,DESKTOP,macOS,103.111.127.42,2026-07-16 02:35:04,2026-07-16 02:40:23,0,1,319,57272.26,2,0,0,2,1,ABANDONED
sess_000140,392,TABLET,Windows,103.82.137.106,2026-08-01 22:17:04,2026-08-01 22:26:50,1,0,586,73669.09,3,1,0,4,1,ABANDONED
sess_000141,165,MOBILE,iOS,103.22.11.48,2026-08-04 15:00:04,2026-08-04 15:11:19,0,0,675,104960.78,4,1,0,4,1,ABANDONED
sess_000142,191,DESKTOP,Android,103.94.41.216,2026-07-14 19:38:04,2026-07-14 19:47:36,0,0,572,33955.92,1,1,0,2,0,CONVERTED
sess_000143,99,DESKTOP,macOS,103.222.6.32,2026-07-14 16:08:04,2026-07-14 16:20:37,0,0,753,15251.23,1,2,0,1,0,CONVERTED
sess_000144,267,TABLET,iOS,103.131.199.175,2026-07-08 13:58:04,2026-07-08 14:10:14,0,0,730,34207.92,1,1,0,4,1,ABANDONED
sess_000145,63,DESKTOP,macOS,103.173.152.51,2026-07-27 22:51:04,2026-07-27 23:00:26,0,0,562,28710.83,2,0,0,3,1,ABANDONED
sess_000146,86,DESKTOP,Android,103.111.124.3,2026-08-06 04:47:04,2026-08-06 05:05:31,0,1,1107,35965.79,2,1,0,6,1,ABANDONED
sess_000147,47,TABLET,Windows,103.248.30.16,2026-07-27 02:37:04,2026-07-27 02:46:21,0,1,557,11240.56,2,1,0,3,1,ABANDONED
sess_000148,413,DESKTOP,iOS,103.15.193.92,2026-07-15 20:02:04,2026-07-15 20:06:12,0,0,248,70725.33,4,0,0,1,1,ABANDONED
sess_000149,375,DESKTOP,Windows,103.232.82.18,2026-07-22 19:20:04,2026-07-22 19:39:03,0,0,1139,91357.4,4,3,2,4,1,PAYMENT_FAILED
sess_000150,338,TABLET,macOS,103.58.254.197,2026-07-21 19:22:04,2026-07-21 19:32:34,0,0,630,57531.23,3,2,0,2,0,CONVERTED
sess_000151,104,MOBILE,macOS,103.59.50.9,2026-07-20 02:43:04,2026-07-20 02:56:21,0,1,797,34851.04,3,1,0,6,1,ABANDONED
sess_000152,476,MOBILE,macOS,103.215.31.93,2026-07-21 10:26:04,2026-07-21 10:35:04,0,0,540,17551.46,1,0,0,2,1,ABANDONED
sess_000153,21,TABLET,Android,103.223.155.20,2026-07-08 17:15:04,2026-07-08 17:21:47,0,0,403,48352.56,4,1,0,1,0,CONVERTED
sess_000154,393,TABLET,Windows,103.182.234.180,2026-07-17 10:03:04,2026-07-17 10:11:30,0,0,506,25380.59,2,1,0,4,1,ABANDONED
sess_000155,274,TABLET,macOS,103.248.180.232,2026-07-28 05:51:04,2026-07-28 06:02:24,0,1,680,79288.84,4,2,0,2,0,CONVERTED
sess_000156,185,DESKTOP,macOS,103.255.203.1,2026-07-15 23:27:04,2026-07-15 23:38:35,0,1,691,37388.92,2,1,0,3,1,ABANDONED
sess_000157,12,TABLET,Windows,103.245.79.25,2026-08-06 08:55:04,2026-08-06 09:02:43,0,0,459,41896.11,3,2,0,1,0,CONVERTED
sess_000158,292,MOBILE,Android,103.195.166.203,2026-07-23 18:43:04,2026-07-23 19:12:44,0,0,1780,81155.6,3,3,3,2,1,PAYMENT_FAILED
sess_000159,223,DESKTOP,Android,103.232.116.192,2026-07-18 04:04:04,2026-07-18 04:13:59,1,1,595,43261.72,4,0,0,1,1,ABANDONED
sess_000160,79,MOBILE,macOS,103.124.46.57,2026-07-25 14:44:04,2026-07-25 14:51:35,1,0,451,81625.45,3,2,0,1,0,CONVERTED
sess_000161,205,TABLET,macOS,103.208.66.196,2026-08-03 08:13:04,2026-08-03 08:29:16,0,0,972,48770.71,4,1,0,4,1,ABANDONED
sess_000162,398,DESKTOP,Windows,103.185.45.29,2026-07-17 10:30:04,2026-07-17 10:35:40,0,0,336,26575.07,3,0,0,2,1,ABANDONED
sess_000163,316,DESKTOP,iOS,103.122.22.237,2026-07-12 16:39:04,2026-07-12 16:42:46,1,0,222,73984.87,3,0,0,3,1,ABANDONED
sess_000164,475,MOBILE,Windows,103.13.175.178,2026-07-13 20:50:04,2026-07-13 21:02:44,0,0,760,18731.11,1,2,0,2,0,CONVERTED
sess_000165,109,MOBILE,Windows,103.150.247.160,2026-07-15 19:48:04,2026-07-15 19:58:41,0,0,637,23333.68,1,4,3,5,1,PAYMENT_FAILED
sess_000166,357,TABLET,Windows,103.23.238.168,2026-07-09 00:20:04,2026-07-09 00:31:41,0,1,697,52577.97,3,1,0,2,0,CONVERTED
sess_000167,463,DESKTOP,macOS,103.231.45.48,2026-08-01 07:32:04,2026-08-01 07:37:58,1,0,354,15751.54,1,0,0,3,1,ABANDONED
sess_000168,157,DESKTOP,macOS,103.110.80.5,2026-07-27 01:16:04,2026-07-27 01:21:04,0,1,300,42148.58,3,0,0,2,1,ABANDONED
sess_000169,486,DESKTOP,iOS,103.48.174.230,2026-07-26 02:12:04,2026-07-26 02:21:04,1,1,540,63088.99,4,1,0,3,1,ABANDONED
sess_000170,466,TABLET,Windows,103.124.67.53,2026-07-18 19:54:04,2026-07-18 20:01:01,1,0,417,41394.66,2,0,0,3,1,ABANDONED
sess_000171,466,MOBILE,iOS,103.91.34.143,2026-07-21 20:35:04,2026-07-21 20:44:52,0,0,588,43857.83,2,1,0,5,1,ABANDONED
